record_id,review_type,objective_category,objective_category_source,icd11_pain_category,musculoskeletal_flag,bps_function,bio_mentioned,psych_mentioned,social_mentioned,quality_assessment_reported,psychological_concepts_detected,theoretical_frameworks_detected,conceptual_problem_flags,provisional_typology,stage3_candidate,stage3_priority,coding_rationale,coding_method,llm_model
WOS:001116314900001,network meta-analysis,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,no,no,yes,no,,,parallel_listing_without_integration | mechanistic_absence | missing_biology,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_31466408,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,no,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_36278735,systematic review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,yes,yes,no,anxiety,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_31878346,systematic review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,background framing,yes,no,yes,yes,,,tokenistic_bps | vague_definition,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_39768944,systematic review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,yes,yes,yes,fear-avoidance | depression,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_24716562,narrative or expert review,conceptual,llm_structured,chronic secondary visceral pain,unclear,explanatory framework,yes,yes,yes,no,coping,,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_32010899,systematic review,clinical,llm_structured,chronic primary pain,yes,conclusion,no,yes,yes,no,,,parallel_listing_without_integration | missing_biology,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_12720511,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,yes,intervention rationale,yes,yes,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_28359011,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,organizing principle,yes,no,yes,no,,,vague_definition | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_2094850,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,yes,yes,no,,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_17149465,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,no,no,yes,no,,,missing_biology,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_10711057,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,yes,yes,yes,no,,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_11858295,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,yes,yes,no,,,parallel_listing_without_integration | mechanistic_absence | missing_biology,multifactorial signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_8940956,narrative or expert review,clinical,llm_structured,chronic secondary visceral pain,yes,explanatory framework,yes,no,yes,no,,,none,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_10635197,narrative or expert review,conceptual,llm_structured,chronic secondary headache or orofacial pain,unclear,explanatory framework,yes,yes,yes,no,stress,,none,potential integrative signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_9927896,narrative or expert review,clinical,llm_structured,chronic secondary headache or orofacial pain,unclear,rhetorical label,no,no,yes,no,suffering,biopsychosocial model,tokenistic_bps | vague_definition | missing_biology,rhetorical label signal,yes,medium,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_34793635,systematic review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,background framing,yes,yes,yes,yes,coping | acceptance | self-efficacy | cognitions | emotions,biopsychosocial-spiritual model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
pubmed_8842824,narrative or expert review,methodological,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,no,no,yes,no,functioning,biopsychosocial disease consequence model,missing_biology,potential integrative signal,yes,high,Structured Stage 2 output required deterministic field repair for omitted items.,llm_structured,google/gemini-3.1-flash-lite-preview
